,0,1,2,3,4,5,6,7,8,9
A,"('U', 0.92)","('B', 0.92)","('H', 0.91)","('K', 0.91)","('O', 0.91)","('X', 0.91)","('A', 0.91)","('R', 0.91)","('D', 0.91)","('Q', 0.88)"
B,"('B', 0.89)","('O', 0.89)","('U', 0.88)","('H', 0.86)","('K', 0.86)","('D', 0.86)","('R', 0.86)","('A', 0.86)","('X', 0.85)","('Q', 0.82)"
C,"('C', 0.89)","('E', 0.89)","('Z', 0.85)","('S', 0.84)","('G', 0.84)","('D', 0.81)","('X', 0.8)","('Y', 0.8)","('V', 0.78)","('A', 0.77)"
D,"('B', 0.9)","('U', 0.89)","('O', 0.89)","('D', 0.89)","('H', 0.88)","('K', 0.88)","('R', 0.88)","('X', 0.87)","('A', 0.87)","('Q', 0.84)"
E,"('D', 0.9)","('X', 0.88)","('B', 0.87)","('U', 0.87)","('R', 0.87)","('A', 0.87)","('K', 0.87)","('O', 0.86)","('H', 0.86)","('G', 0.86)"
F,"('Z', 0.94)","('G', 0.93)","('S', 0.93)","('V', 0.9)","('P', 0.89)","('N', 0.89)","('E', 0.88)","('C', 0.87)","('X', 0.87)","('Y', 0.86)"
G,"('B', 0.91)","('U', 0.9)","('O', 0.9)","('D', 0.89)","('H', 0.89)","('K', 0.89)","('R', 0.88)","('X', 0.88)","('A', 0.88)","('Q', 0.85)"
H,"('B', 0.91)","('U', 0.9)","('O', 0.9)","('H', 0.89)","('K', 0.89)","('R', 0.88)","('A', 0.88)","('D', 0.87)","('X', 0.87)","('Q', 0.85)"
I,"('I', 0.79)","('J', 0.72)","('T', 0.58)","('E', 0.56)","('C', 0.53)","('D', 0.52)","('Z', 0.49)","('S', 0.49)","('B', 0.49)","('X', 0.49)"
J,"('J', 0.83)","('I', 0.69)","('T', 0.68)","('C', 0.6)","('E', 0.6)","('Y', 0.56)","('S', 0.55)","('Z', 0.55)","('D', 0.54)","('X', 0.53)"
K,"('B', 0.91)","('U', 0.91)","('O', 0.9)","('D', 0.89)","('H', 0.89)","('K', 0.89)","('X', 0.89)","('R', 0.89)","('A', 0.89)","('Q', 0.86)"
L,"('L', 0.88)","('C', 0.76)","('E', 0.72)","('Z', 0.69)","('G', 0.68)","('S', 0.68)","('Y', 0.66)","('T', 0.65)","('N', 0.65)","('F', 0.64)"
M,"('W', 0.89)","('M', 0.87)","('N', 0.8)","('P', 0.72)","('V', 0.72)","('Q', 0.71)","('G', 0.7)","('S', 0.7)","('F', 0.69)","('K', 0.69)"
N,"('G', 0.9)","('X', 0.9)","('S', 0.9)","('Z', 0.89)","('Q', 0.88)","('K', 0.88)","('A', 0.88)","('H', 0.88)","('V', 0.87)","('R', 0.87)"
O,"('B', 0.9)","('O', 0.89)","('U', 0.89)","('H', 0.87)","('K', 0.87)","('R', 0.87)","('D', 0.86)","('A', 0.86)","('X', 0.85)","('Q', 0.83)"
P,"('G', 0.95)","('X', 0.95)","('D', 0.93)","('Z', 0.93)","('A', 0.93)","('S', 0.93)","('K', 0.93)","('Q', 0.93)","('H', 0.92)","('R', 0.92)"
Q,"('U', 0.94)","('B', 0.93)","('O', 0.93)","('H', 0.92)","('K', 0.92)","('R', 0.91)","('A', 0.91)","('X', 0.91)","('D', 0.9)","('Q', 0.89)"
R,"('B', 0.91)","('O', 0.91)","('U', 0.91)","('H', 0.89)","('K', 0.89)","('R', 0.89)","('D', 0.89)","('A', 0.88)","('X', 0.88)","('Q', 0.85)"
S,"('D', 0.9)","('X', 0.9)","('B', 0.89)","('U', 0.89)","('R', 0.88)","('O', 0.88)","('A', 0.88)","('K', 0.88)","('H', 0.88)","('G', 0.86)"
T,"('T', 0.89)","('J', 0.8)","('C', 0.8)","('E', 0.77)","('Y', 0.77)","('S', 0.72)","('Z', 0.72)","('V', 0.7)","('G', 0.69)","('L', 0.68)"
U,"('B', 0.9)","('U', 0.89)","('O', 0.89)","('H', 0.88)","('K', 0.87)","('R', 0.87)","('A', 0.87)","('D', 0.87)","('X', 0.86)","('Q', 0.84)"
V,"('S', 0.94)","('Z', 0.92)","('X', 0.91)","('G', 0.91)","('V', 0.89)","('D', 0.89)","('E', 0.89)","('A', 0.88)","('R', 0.87)","('Q', 0.87)"
W,"('W', 0.87)","('M', 0.82)","('N', 0.78)","('Q', 0.74)","('P', 0.74)","('K', 0.73)","('H', 0.73)","('G', 0.72)","('A', 0.72)","('V', 0.72)"
X,"('B', 0.91)","('U', 0.9)","('O', 0.9)","('H', 0.89)","('K', 0.89)","('D', 0.88)","('R', 0.88)","('A', 0.88)","('X', 0.88)","('Q', 0.85)"
Y,"('S', 0.91)","('E', 0.9)","('Z', 0.9)","('C', 0.89)","('Y', 0.89)","('G', 0.88)","('V', 0.88)","('X', 0.86)","('D', 0.85)","('A', 0.83)"
Z,"('D', 0.9)","('B', 0.89)","('X', 0.89)","('U', 0.89)","('O', 0.89)","('R', 0.88)","('A', 0.88)","('K', 0.88)","('H', 0.88)","('G', 0.86)"
