,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
А,118.0,0.6145833333333334,"(5.940677966101695, 8.364406779661017)","(0.4491525423728813, 0.4909604519774012)","(1459.3305084745762, 1260.5847457627126)","(0.5365352858700732, 0.46346471412992696)"
Б,116.0,0.6041666666666666,"(5.706896551724138, 8.689655172413794)","(0.4278996865203762, 0.5126436781609196)","(1506.8275862068965, 1174.0344827586202)","(0.5620683002122324, 0.43793169978776764)"
В,123.0,0.640625,"(5.861788617886178, 8.512195121951219)","(0.44198078344419806, 0.5008130081300812)","(1552.7317073170727, 1234.6504065040651)","(0.5570573548627963, 0.44294264513720377)"
Г,83.0,0.4322916666666667,"(4.554216867469879, 7.373493975903615)","(0.3231106243154436, 0.42489959839357433)","(1017.4216867469887, 706.5060240963851)","(0.590176537187426, 0.40982346281257387)"
Д,121.0,0.6302083333333334,"(5.75206611570248, 8.520661157024794)","(0.43200601051840726, 0.5013774104683196)","(1436.1983471074377, 1162.5619834710744)","(0.5526474797265065, 0.4473525202734934)"
Е,100.0,0.5208333333333334,"(5.22, 8.34)","(0.3836363636363636, 0.48933333333333334)","(1314.44, 825.16)","(0.6143391288091232, 0.3856608711908768)"
Ё,105.0,0.546875,"(5.2, 7.847619047619047)","(0.38181818181818183, 0.4565079365079365)","(1637.561904761905, 826.8000000000003)","(0.6644973295511636, 0.3355026704488364)"
Ж,120.0,0.5,"(6.833333333333333, 8.483333333333333)","(0.41666666666666663, 0.4988888888888888)","(1439.9666666666662, 1824.6666666666665)","(0.4410806726635967, 0.5589193273364034)"
З,102.0,0.53125,"(6.352941176470588, 8.450980392156863)","(0.4866310160427807, 0.49673202614379086)","(1485.254901960783, 981.2941176470589)","(0.6021590854889738, 0.3978409145110262)"
И,95.0,0.4567307692307692,"(5.926315789473684, 8.157894736842104)","(0.4105263157894737, 0.4771929824561403)","(1034.6315789473683, 1170.484210526316)","(0.46919603219308204, 0.530803967806918)"
Й,108.0,0.5192307692307693,"(6.083333333333333, 8.037037037037036)","(0.4236111111111111, 0.4691358024691358)","(1473.8518518518513, 1282.2500000000002)","(0.534759573874803, 0.4652404261251971)"
К,113.0,0.5885416666666666,"(5.814159292035399, 8.43362831858407)","(0.43765084473049076, 0.495575221238938)","(1417.7522123893798, 1179.0973451327427)","(0.5459508458172599, 0.45404915418274017)"
Л,65.0,0.3693181818181818,"(6.276923076923077, 8.96923076923077)","(0.5276923076923077, 0.5312820512820513)","(709.9384615384611, 369.0153846153845)","(0.6579877944447613, 0.3420122055552388)"
М,99.0,0.4125,"(7.3232323232323235, 8.313131313131313)","(0.4516594516594517, 0.48754208754208755)","(1023.2929292929299, 1945.6565656565638)","(0.34466498370338144, 0.6553350162966185)"
Н,120.0,0.625,"(5.916666666666667, 8.491666666666667)","(0.446969696969697, 0.49944444444444447)","(1411.9916666666654, 1269.1666666666667)","(0.5266349432303822, 0.4733650567696179)"
О,125.0,0.6510416666666666,"(6.008, 8.48)","(0.4552727272727273, 0.4986666666666667)","(1549.1999999999987, 1318.9919999999995)","(0.5401312046055493, 0.4598687953944507)"
П,122.0,0.6354166666666666,"(5.959016393442623, 8.368852459016393)","(0.4508196721311475, 0.4912568306010929)","(1484.4016393442641, 1294.795081967213)","(0.5341117553721741, 0.46588824462782585)"
Р,106.0,0.5520833333333334,"(5.433962264150943, 7.632075471698113)","(0.40308747855917665, 0.44213836477987417)","(1070.6509433962267, 1066.0377358490573)","(0.5010795226258228, 0.49892047737417716)"
С,95.0,0.4947916666666667,"(5.063157894736842, 8.51578947368421)","(0.369377990430622, 0.5010526315789473)","(1465.726315789471, 905.6210526315791)","(0.618098527153117, 0.381901472846883)"
Т,74.0,0.3854166666666667,"(5.77027027027027, 7.554054054054054)","(0.43366093366093367, 0.43693693693693697)","(956.2837837837839, 337.0945945945946)","(0.7393689269668792, 0.2606310730331209)"
У,113.0,0.5885416666666666,"(6.247787610619469, 8.4070796460177)","(0.4770716009654063, 0.4938053097345133)","(1441.274336283186, 1201.061946902655)","(0.5454545454545454, 0.45454545454545453)"
