,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
Ф,112.0,0.4666666666666667,"(7.0, 7.821428571428571)","(0.42857142857142855, 0.45476190476190476)","(1208.4285714285722, 1668.0)","(0.42011422895455686, 0.579885771045443)"
Х,113.0,0.5885416666666666,"(5.911504424778761, 8.504424778761061)","(0.44650040225261467, 0.5002949852507375)","(1412.2477876106202, 1157.1150442477876)","(0.5496490297515311, 0.45035097024846893)"
Ц,126.0,0.4666666666666667,"(6.4523809523809526, 8.96031746031746)","(0.38945578231292516, 0.46825396825396826)","(1834.8015873015906, 1639.2142857142862)","(0.5281500299273979, 0.4718499700726021)"
Ч,94.0,0.4895833333333333,"(6.638297872340425, 7.5638297872340425)","(0.5125725338491296, 0.4375886524822695)","(963.1170212765959, 931.7021276595748)","(0.5082896812697557, 0.49171031873024434)"
Ш,148.0,0.578125,"(7.5, 8.635135135135135)","(0.43333333333333335, 0.509009009009009)","(1814.297297297298, 2605.0)","(0.41053977029489835, 0.5894602297051016)"
Щ,156.0,0.48148148148148145,"(8.0, 9.012820512820513)","(0.4117647058823529, 0.471342383107089)","(2205.974358974361, 3206.0)","(0.40760990585927714, 0.5923900941407229)"
Ъ,102.0,0.45535714285714285,"(7.019607843137255, 9.27450980392157)","(0.46304675716440424, 0.5516339869281046)","(1162.3137254901965, 1115.9607843137253)","(0.5101728174056736, 0.4898271825943265)"
Ы,141.0,0.4895833333333333,"(8.106382978723405, 9.170212765957446)","(0.41802252816020025, 0.5446808510638298)","(1631.9148936170236, 3703.4042553191503)","(0.30587015472962215, 0.6941298452703778)"
Ь,96.0,0.5,"(5.25, 9.59375)","(0.38636363636363635, 0.5729166666666666)","(989.15625, 988.0)","(0.5002924022823183, 0.49970759771768164)"
Э,107.0,0.5572916666666666,"(6.5514018691588785, 8.495327102803738)","(0.5046728971962616, 0.49968847352024925)","(1506.7476635514013, 1068.4672897196265)","(0.5850958816612712, 0.4149041183387288)"
Ю,175.0,0.6076388888888888,"(8.554285714285715, 8.502857142857144)","(0.44436974789915973, 0.5001904761904762)","(2127.7485714285713, 3907.234285714284)","(0.3525691160680301, 0.6474308839319699)"
Я,119.0,0.6197916666666666,"(5.966386554621849, 8.294117647058824)","(0.45148968678380447, 0.4862745098039216)","(1452.7058823529399, 1223.8655462184859)","(0.5427487818355353, 0.4572512181644647)"
