,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
А,47.0,0.30128205128205127,"(5.553191489361702, 8.127659574468085)","(0.41392649903288203, 0.5939716312056738)","(395.2340425531913, 277.6170212765957)","(0.5874019731849227, 0.4125980268150773)"
Б,57.0,0.36538461538461536,"(5.526315789473684, 7.245614035087719)","(0.41148325358851673, 0.52046783625731)","(664.5614035087714, 402.21052631578965)","(0.6229648389961514, 0.3770351610038486)"
В,62.0,0.39743589743589747,"(5.82258064516129, 6.983870967741935)","(0.43841642228739003, 0.49865591397849457)","(710.9838709677424, 465.0483870967741)","(0.6045615382505419, 0.395438461749458)"
Г,25.0,0.19230769230769232,"(4.24, 4.48)","(0.36000000000000004, 0.29000000000000004)","(238.24, 154.55999999999995)","(0.6065173116089614, 0.3934826883910386)"
Д,61.0,0.3351648351648352,"(6.049180327868853, 8.049180327868852)","(0.4207650273224044, 0.5422446406052963)","(902.8524590163944, 610.8524590163935)","(0.5964520880263389, 0.4035479119736612)"
Е,49.0,0.3426573426573426,"(4.8979591836734695, 6.8979591836734695)","(0.38979591836734695, 0.4914965986394558)","(688.4897959183673, 258.4897959183674)","(0.7270376276884617, 0.27296237231153836)"
Ё,52.0,0.36363636363636365,"(4.884615384615385, 6.5)","(0.3884615384615385, 0.4583333333333333)","(823.0, 267.30769230769226)","(0.7548327924368562, 0.24516720756314372)"
Ж,75.0,0.32051282051282054,"(8.453333333333333, 7.093333333333334)","(0.4384313725490196, 0.5077777777777778)","(710.346666666666, 1258.5866666666664)","(0.3607774090878308, 0.6392225909121692)"
З,48.0,0.3356643356643356,"(5.479166666666667, 7.0625)","(0.4479166666666667, 0.5052083333333334)","(580.8125, 245.97916666666669)","(0.7024895429118581, 0.2975104570881419)"
И,40.0,0.2366863905325444,"(6.025, 7.0)","(0.41875, 0.5)","(358.0, 426.975)","(0.45606547979235007, 0.54393452020765)"
Й,44.0,0.2603550295857988,"(6.068181818181818, 6.363636363636363)","(0.42234848484848486, 0.44696969696969696)","(536.1818181818182, 432.7954545454545)","(0.5533481881083617, 0.4466518118916383)"
К,40.0,0.2366863905325444,"(5.675, 7.025)","(0.38958333333333334, 0.5020833333333333)","(348.97500000000014, 318.7750000000001)","(0.5226132534631225, 0.47738674653687757)"
Л,54.0,0.31952662721893493,"(6.185185185185185, 6.574074074074074)","(0.43209876543209874, 0.4645061728395062)","(651.2037037037035, 544.1481481481482)","(0.5447799346233093, 0.45522006537669063)"
М,63.0,0.3230769230769231,"(6.920634920634921, 6.777777777777778)","(0.4229024943310658, 0.48148148148148145)","(482.88888888888897, 1012.6031746031746)","(0.32289632334210755, 0.6771036766578924)"
Н,36.0,0.21301775147928995,"(6.0, 6.805555555555555)","(0.4166666666666667, 0.4837962962962963)","(225.63888888888883, 408.0)","(0.35610012713164696, 0.643899872868353)"
О,58.0,0.3186813186813187,"(6.379310344827586, 7.068965517241379)","(0.41379310344827586, 0.5057471264367815)","(653.7241379310343, 747.6551724137933)","(0.46648622047244087, 0.5335137795275592)"
П,45.0,0.26627218934911245,"(6.6, 5.8)","(0.4666666666666666, 0.39999999999999997)","(511.20000000000005, 472.8)","(0.5195121951219512, 0.4804878048780488)"
