,weight,norm weight,center of gravity,norm CenterOfGravity,"axial moments (h, v)",norm axial moments
Р,42.0,0.2937062937062937,"(5.071428571428571, 5.238095238095238)","(0.40714285714285714, 0.3531746031746032)","(275.6190476190476, 292.78571428571433)","(0.48489925857663463, 0.5151007414233654)"
С,46.0,0.2948717948717949,"(5.108695652173913, 7.0)","(0.37351778656126483, 0.5)","(616.0, 384.45652173913055)","(0.6157189109319658, 0.38428108906803427)"
Т,38.0,0.29230769230769227,"(4.5, 5.105263157894737)","(0.3888888888888889, 0.34210526315789475)","(411.5789473684211, 169.5)","(0.7083012544721707, 0.2916987455278294)"
У,41.0,0.26282051282051283,"(5.2439024390243905, 7.170731707317073)","(0.3858093126385809, 0.5142276422764228)","(425.8048780487804, 333.5609756097561)","(0.5607374574420247, 0.43926254255797526)"
Ф,79.0,0.3574660633484163,"(8.0, 6.0886075949367084)","(0.4375, 0.4240506329113924)","(746.3797468354428, 1474.0)","(0.33614959238355846, 0.6638504076164415)"
Х,42.0,0.2692307692307692,"(5.761904761904762, 7.023809523809524)","(0.4329004329004329, 0.501984126984127)","(438.97619047619037, 267.61904761904765)","(0.6212555177410114, 0.3787444822589885)"
Ц,51.0,0.24285714285714285,"(7.098039215686274, 8.686274509803921)","(0.46907993966817496, 0.5490196078431372)","(608.9803921568629, 570.5098039215685)","(0.5163081424344185, 0.4836918575655816)"
Ч,44.0,0.3076923076923077,"(5.7727272727272725, 6.7727272727272725)","(0.47727272727272724, 0.481060606060606)","(337.7272727272727, 425.72727272727275)","(0.4423672302929268, 0.5576327697070731)"
Ш,64.0,0.28959276018099545,"(9.203125, 8.40625)","(0.5126953125, 0.6171875)","(723.4375, 1458.359375)","(0.3315787589071508, 0.6684212410928492)"
Щ,70.0,0.25925925925925924,"(9.728571428571428, 8.785714285714286)","(0.5134453781512605, 0.5561224489795918)","(837.7857142857137, 1667.8428571428567)","(0.3343614946919506, 0.6656385053080494)"
Ъ,58.0,0.3186813186813187,"(6.103448275862069, 7.793103448275862)","(0.3925729442970823, 0.5660919540229885)","(561.5172413793102, 581.3793103448276)","(0.49131064446053585, 0.5086893555394643)"
Ы,65.0,0.3333333333333333,"(7.753846153846154, 7.984615384615385)","(0.4824175824175824, 0.5820512820512821)","(562.9846153846155, 1080.0615384615385)","(0.34264686604618066, 0.6573531339538192)"
Ь,46.0,0.2948717948717949,"(5.608695652173913, 8.58695652173913)","(0.4189723320158103, 0.6322463768115942)","(331.1521739130433, 378.95652173913044)","(0.4663401193938465, 0.5336598806061534)"
Э,56.0,0.358974358974359,"(6.107142857142857, 6.910714285714286)","(0.46428571428571425, 0.4925595238095238)","(620.5535714285712, 403.35714285714283)","(0.6060621915275816, 0.3939378084724185)"
Ю,65.0,0.29411764705882354,"(8.23076923076923, 6.861538461538461)","(0.45192307692307687, 0.48846153846153845)","(749.7538461538464, 1233.5384615384621)","(0.37803496904913353, 0.6219650309508665)"
Я,62.0,0.3668639053254438,"(6.161290322580645, 6.516129032258065)","(0.43010752688172044, 0.45967741935483875)","(621.483870967742, 556.3870967741934)","(0.5276332365667964, 0.47236676343320366)"
