,0,1,2,3,4,5,6,7,8,9
A,"('U', 0.93)","('K', 0.92)","('H', 0.92)","('X', 0.92)","('A', 0.92)","('B', 0.91)","('O', 0.91)","('R', 0.91)","('D', 0.91)","('Q', 0.9)"
B,"('U', 0.92)","('B', 0.92)","('O', 0.91)","('H', 0.9)","('K', 0.9)","('R', 0.89)","('A', 0.89)","('D', 0.89)","('X', 0.89)","('Q', 0.86)"
C,"('C', 0.92)","('E', 0.88)","('Z', 0.85)","('S', 0.85)","('G', 0.84)","('Y', 0.81)","('L', 0.8)","('D', 0.8)","('X', 0.79)","('V', 0.79)"
D,"('D', 0.92)","('X', 0.91)","('U', 0.9)","('B', 0.89)","('K', 0.89)","('H', 0.89)","('A', 0.89)","('R', 0.89)","('G', 0.89)","('O', 0.89)"
E,"('D', 0.89)","('E', 0.89)","('S', 0.88)","('Z', 0.88)","('G', 0.88)","('X', 0.88)","('C', 0.85)","('R', 0.85)","('A', 0.85)","('U', 0.84)"
F,"('N', 0.94)","('F', 0.9)","('Z', 0.88)","('P', 0.88)","('G', 0.88)","('S', 0.87)","('V', 0.87)","('Y', 0.84)","('C', 0.84)","('E', 0.83)"
G,"('X', 0.91)","('D', 0.91)","('U', 0.9)","('K', 0.9)","('H', 0.9)","('A', 0.9)","('R', 0.89)","('G', 0.89)","('B', 0.89)","('O', 0.89)"
H,"('U', 0.92)","('H', 0.92)","('K', 0.92)","('B', 0.91)","('O', 0.91)","('A', 0.9)","('X', 0.9)","('R', 0.9)","('D', 0.89)","('Q', 0.89)"
I,"('I', 0.83)","('J', 0.76)","('T', 0.61)","('E', 0.57)","('C', 0.55)","('D', 0.51)","('Z', 0.5)","('S', 0.5)","('Y', 0.49)","('G', 0.49)"
J,"('J', 0.87)","('I', 0.73)","('T', 0.69)","('C', 0.6)","('E', 0.59)","('Y', 0.55)","('S', 0.54)","('Z', 0.53)","('D', 0.53)","('G', 0.52)"
K,"('U', 0.92)","('H', 0.92)","('K', 0.92)","('B', 0.91)","('O', 0.91)","('A', 0.91)","('X', 0.9)","('R', 0.9)","('D', 0.89)","('Q', 0.89)"
L,"('L', 0.91)","('C', 0.75)","('E', 0.69)","('Z', 0.68)","('G', 0.67)","('S', 0.67)","('N', 0.66)","('F', 0.66)","('Y', 0.65)","('T', 0.63)"
M,"('M', 0.89)","('W', 0.87)","('N', 0.76)","('F', 0.67)","('V', 0.67)","('P', 0.66)","('Q', 0.65)","('S', 0.64)","('G', 0.64)","('Z', 0.63)"
N,"('N', 0.9)","('G', 0.85)","('V', 0.85)","('S', 0.85)","('Z', 0.84)","('P', 0.84)","('Q', 0.84)","('X', 0.83)","('W', 0.83)","('K', 0.82)"
O,"('U', 0.92)","('B', 0.92)","('O', 0.92)","('H', 0.91)","('K', 0.91)","('R', 0.9)","('A', 0.9)","('X', 0.89)","('D', 0.89)","('Q', 0.87)"
P,"('G', 0.93)","('P', 0.92)","('Q', 0.91)","('Z', 0.91)","('S', 0.91)","('X', 0.91)","('K', 0.9)","('A', 0.89)","('H', 0.89)","('V', 0.89)"
Q,"('K', 0.93)","('H', 0.93)","('U', 0.93)","('X', 0.92)","('A', 0.92)","('Q', 0.92)","('R', 0.91)","('O', 0.91)","('B', 0.9)","('D', 0.9)"
R,"('U', 0.93)","('H', 0.93)","('K', 0.93)","('B', 0.92)","('X', 0.92)","('O', 0.92)","('A', 0.92)","('R', 0.92)","('D', 0.91)","('Q', 0.9)"
S,"('X', 0.92)","('D', 0.9)","('A', 0.9)","('K', 0.89)","('U', 0.89)","('G', 0.89)","('S', 0.89)","('R', 0.89)","('H', 0.89)","('Z', 0.88)"
T,"('T', 0.9)","('J', 0.82)","('C', 0.79)","('E', 0.76)","('Y', 0.76)","('S', 0.71)","('Z', 0.7)","('I', 0.69)","('V', 0.68)","('G', 0.68)"
U,"('U', 0.92)","('H', 0.91)","('B', 0.91)","('O', 0.91)","('K', 0.9)","('A', 0.89)","('R', 0.89)","('X', 0.89)","('D', 0.88)","('Q', 0.87)"
V,"('S', 0.94)","('Z', 0.92)","('G', 0.92)","('V', 0.92)","('X', 0.91)","('Q', 0.89)","('A', 0.88)","('D', 0.88)","('K', 0.87)","('R', 0.87)"
W,"('W', 0.9)","('M', 0.85)","('N', 0.79)","('P', 0.73)","('Q', 0.72)","('V', 0.71)","('G', 0.7)","('K', 0.7)","('H', 0.7)","('X', 0.69)"
X,"('X', 0.92)","('D', 0.91)","('U', 0.9)","('K', 0.9)","('H', 0.9)","('A', 0.9)","('R', 0.89)","('G', 0.89)","('B', 0.89)","('O', 0.88)"
Y,"('Y', 0.92)","('C', 0.91)","('S', 0.91)","('Z', 0.9)","('E', 0.9)","('V', 0.89)","('G', 0.88)","('X', 0.84)","('N', 0.83)","('D', 0.83)"
Z,"('X', 0.92)","('D', 0.91)","('G', 0.91)","('S', 0.9)","('A', 0.9)","('K', 0.9)","('U', 0.89)","('Z', 0.89)","('H', 0.89)","('R', 0.89)"
